author,content
陈德武,"丝丝线线。
惹起云根燕。
万里江山春欲遍。
多在梨花庭院。
经旬一见通宵。
恍如身在蓝桥。
记与巫山神女，不禁暮暮朝朝。"
晏几道,"湖上西风，露花啼处秋香老。
谢家春草。
唱得清商好。
笑倚兰舟，转尽新声了。
烟波渺。
暮云稀少。
一点凉蟾小。"
刘学箕,"柳絮风翻高下飞。
雨笼晴、香径尚泥。
女伴笑、踏青好，凤钗偏、花压鬓垂。
乱莺双燕春情绪，搅愁心、欲诉向谁。
人间道、因谁瘦，拈青梅、闲敛黛眉。"
张元干,"祥景飞光盈衮绣。
流庆昆台，自是神仙胄。
谁遣阳和放春透。
化工重入丹青手。
云锦瑟争为寿。
玉带金鱼，共愿人长久。
偷取蟠桃荐芳酒。
更看南极星朝斗。"
周邦彦,"堤前亭午未融霜。
风紧雁无行。
重寻旧日岐路，茸帽北游装。
期信杳，别离长。
远情伤。
风翻酒幔，寒凝茶烟，又是何乡。"
赵长卿,"楚梅娇小。
好是霜天晓。
宿酒恼人香暗绕。
浸影碧波池沼。
生成素淡芳容。
不须抹黛匀红。
准拟凝成阴结子，莫教枉费春工。"
曹勋,"照溪流清浅，正万梅都开，峭寒天气。
才过了元宵，渐昼长禁宇，迤逦佳时。
断肠枝上雪，残英已、片影初飞。
苒苒随风，送春到、便烂漫香迟。
凝睇。
迎芳菲至。
觉欣欣桃李，嫩色依微。
应是有新酸，向嫩梢定须，一点藏枝。
乍晴还又冷，从尊前、自落轻细。
寄与高楼，夜笛声、且缓吹。"
陈允平,"目断江横，相思字、难凭雁足。
从别後、倦歌慵绣，悄无拘束。
烟柳翠迷星眼恨，露桃红沁霞腮肉。
傍琐窗、终日对文枰，翻新局。
频暗把，归期卜。
芳草恨，阑干曲。
谢多情海燕，伴愁华屋。
明月自圆双蝶梦，彩云空伴孤鸾宿。
任画帘、不卷玉钩闲，扬花扑。"
仇远,"恼晴空、日长无力，风吹不尽愁绪。
马头零乱流光转，粟粟巧黏红树。
闲意度。
似特地、随他燕子穿帘去。
徘徊不语。
谩彷弗眉尖，留连眼底，芳草正如雾。
冥处。
独凭阑干凝伫。
翠蛾今在何许。
隔花箫鼓春城暮。
肠断小窗微雨。
休更舞。
明日看、池萍始信低飞误。
长桥短浦。
怅不似危红，苍苔点遍，犹涩马蹄驻。"
翁元龙,"花娇半面。
记蜜烛夜阑，同醉深院。
衣袖粉香，犹未经年如年远。
玉颜不趁秋容换。
但换却、春游同伴。
梦回前度，邮亭倦客，又拈笺管。
慵按。
梁州旧曲，怕离柱断弦，惊破金雁。
霜被睡浓，不比花前良宵短。
秋娘羞占东篱畔。
待说与、深宫幽怨。
恨他情淡陶郎，旧缘较浅。"
吴潜,"落雁横空，乱鸦投树，孤村暮烟。
有渔翁拖网，牧儿戴笠，行从水畔，唱过山前。
云阁还垂，雨低欲堕，何处行人唤渡船。
萧萧处，更柴门草店，竹外松边。
凄然。
倚马停鞭。
叹客袂征衫岁月迁。
既不缘富贵，功名系绊，非因妻子，田宅萦牵。
只有寸心，难忘斯世，磊块轮知者天。
愁无奈，且三杯浊酒，一枕酣眠。"
丘,"鸣鸠乳燕。
春在梨花院。
重门镇掩。
沈沈帘不卷。
纱窗红日三竿，睡鸭馀香一线。
佳眠悄无人唤。
谩消遣。
行云无定，楚雨难凭梦魂断。
清明渐近，天涯人正远。
尽教闲了秋千，觑著海棠开遍。
难禁旧愁新怨。"
方岳,"甓社有明月，夜半吐光寒。
淮南草木飞动，秀出斗牛间。
自有秦沙以後，试问少游而下，谁卷入毫端。
补衮仲山甫，冰雪照云寰。
霄汉近，绣衣去，锦衣还。
江南且为梅醉，莫道岁将阑。
三百六旬欲换，五百岁终才始，月月两循环。
酌彼金错落，浇此碧琅。"
晏几道,"鸾孤月缺。
两春惆怅音尘绝。
如今若负当时节。
信道欢缘，狂向衣襟结。
若问相思何处歇。
相逢便是相思彻。
尽饶别後留心别。
也待相逢，细把相思说。"
王以宁,"问政山头景气嘉。
仙家绿酒荐菖芽。
仙郎玉女共乘槎。
学士文章舒锦绣，夫人冠帔烂云霞。
寿香来是道人家。"
曹勋,"天台不是登长道。
浑如弱水烟波渺。
楼上指归程。
春风无限情。
石桥书不到。
雁阵横空杳。
愁绪比遥峰。
依依千万重。"
赵师侠,"爆竹声中岁又除。
顿回和气满寰区。
春风解绿江南树，不与人间染白须。
残蜡烛，旧桃符。
宁辞末後饮屠苏。
归与幸有园林胜，次第花开可自娱。"
王炎2,"玉颊映红绡，才报东风消息。
虽则清如许，有生香真色。
相看动是隔年期，忍不饮涓滴。
莫待轻飞一片，却说花堪惜。"
毛并,"杨子津头风色暮。
孤舟渺渺江南去。
忆得佳人临别处。
愁返顾。
青山几点斜阳树。
可忍归期无定据。
天涯已听边鸿度。
昨夜乡心留不住。
无驿数。
梦中行了来时路。"
杨泽民,"眼前时果漫堆盘。
莫是又贪酸。
因何近来销减，微褪脸霞丹。
还只为，枕衾闲。
泪痕斑。
我能医疗，一服收功，只霎时间。"
吴则礼,"河西春晚。
独有柳条来入眼。
塞外斜斜。
不道欺寒红杏花。
边笳初发。
与唤团团沙塞月。
雁响连天。
谁倚城头百尺栏。"
欧阳修,"红笺封了还重拆。
这添追忆。
且教伊见我，别来翠减香销端的。
渌波平远，暮山重叠，算难凭鳞翼。
倚危楼极目，无情细草长天色。"
谢逸,"个中怀抱谁排遣。
恻恻轻寒风剪剪。
细丝梅蕊晚香浓，争似柳梢春色浅。
娇叱道字歌声软。
醉後微涡回笑魇。
更无卓氏白头吟，只有卢郎年少恨。"
刘埙,"津亭折柳，正秋光如画。
绕路黄花拥朝马。
叹市槐景淡，池藻波寒，分明是、三载春风难舍。
军峰天际碧，云隔空同，无奈相思月明夜。
薇药早催人，应占先春，休如我、醉卧水边林下。
待来岁、今时庆除书，绣锦映宫花，玉京随驾。"
赵师侠,"心景雨无著，情物岂能移。
超然远览失笑，名利苦纷驰。
一品官资荣显，百万金珠豪富，空自喜家肥。
会得个中理，川泳与云飞。
静中乐，闲中趣，自舒迟。
心如止水，无风无自更生漪。
已是都忘人我，一任吾身醒醉，有酒引连卮。
万法无差别，融解即同归。"
王沂孙,"桂嫩传香，榆高送影，轻罗小扇凉生。
正鸳机梭静，凤渚桥成。
穿线人来月底，曝衣花入风庭。
看星残靥碎，露滴珠融，笑掩云扃。
彩盘凝望仙子，但三星隐隐，一水盈盈。
暗想恁肩私语，鬓乱钗横。
蛛网飘丝恨，玉签传点催明。
算人间待巧，似恁匆匆，有甚心情。"
毛滂,"花市东风卷笑声。
柳溪人影乱於云。
梅花何处暗香闻。
露湿翠云裘上月，烛摇红锦帐前春。
瑶台有路渐无尘。"
吴文英,"莺围橙径，鲈跃莼波，重来雨过中秋。
酒市渔乡，西风胜似春柔。
宿舂去年村墅，看黄云、还委西畴。
凤池去，信吴人有分，借与迟留。
应是香山续梦，又凝香追咏，重到苏州。
青鬓江山，足成千岁风流。
围腰御仙花底，衬月中、金粟香浮。
夜宴久，揽秋云、平倚画楼。"
赵长卿,"风软寒轻，暗香飘、扑面无限清楚。
乍淡乍浓，应想前村，定是早梅初吐。
马儿行过坡儿下，危桥外、竹梢疏处。
半斜露。
花花蕊蕊，灿然满树。
一晌看花凝伫。
因念我西园，玉英真素。
最是系心，婉娩精神，伴得水云仙侣。
断肠没奈人千里，无计向、钗头频窥。
泪如雨。
那堪又还日暮。"
刘学箕,"暮霞散绮西溪浦。
天上晴云开絮。
清绝梅花几树。
恼乱春愁处。
小桥流水人来去。
沙岸浴鸥飞鹭。
谁画江南好处。
著我闲巾屦。"
张炎,"楚江空晚。
怅离群万里，恍然惊散。
自顾影、欲下寒塘，正沙净草枯，水平天远。
写不成书，只寄得、相思一点。
料因循误了，残毡拥雪，故人心眼。
谁怜旅愁荏苒。
谩长门夜悄，锦筝弹怨。
想伴侣、犹宿芦花，也曾念春前，去程应转。
暮雨相呼，怕蓦地、玉关重见。
未羞他、双燕归来，画帘半卷。"
姚述尧2,"山城秋好，正西风淅淅，登高时候。
杖倚徘徊凝望处，翠叠万山如绣。
云绕禾场，沈戎马，田野欢声凑。
琴堂无事，何妨同泛香溜。
况有庭下黄花，遍河阳、尽把金钱铺就。
一座簪缨谭笑里，尘脱风生清昼。
饮罢龙山，诗成彭泽，灏气森星斗。
醉归凝伫，美人时炷金兽。"
赵长卿,"恍如辽鹤归华表。
阅尽人间巧。
天乞一堂山对绕。
微波不动，岸巾时照。
照见星星好。
舞风荷盖从倒。
碧树生凉自天杪。
谁识元龙胸次浩。
骑鲸欲去，引杯独啸。
醉眼青天小。"
晏殊,"二月春风，正是杨花满路。
那堪更、别离情绪。
罗巾掩泪，任粉痕沾污。
争奈向、千留万留不住。
玉酒频倾，宿眉愁聚。
空肠断、宝筝弦柱。
人间後会，又不知何处。
魂梦里、也须时时飞去。"
向子,"说著分飞百种猜。
泥人细数几时回。
风流可惯曾孤冷，怀抱如何得好开。
垂玉箸，下香阶。
凭肩小语更兜鞋。
再三莫遣归期误，第一频教入梦来。"
李曾伯,"有庞眉、扶杖岘山来，举觞寿南山。
道天怜赤子，相逢钧播，久望毡还。
幸际君王神武，上宰是甘盘。
少运风霆手，整顿何难。
好个霜天时候，听雁门新雁，眺远凭阑。
想经纶心上，一点炳如丹。
抚舆图、真儒事了，把勋庸、留在鼎彝看。
八千岁，四明洞府，一佛人间。"
赵长卿,"春水满江南，三月多芳草。
幽鸟闲将远恨来，一一都啼了。
不学鸳鸯老。
回首临平道。
人道长眉似远山，山不似长眉好。"
向子,"年年岩桂。
恰恰中秋供我醉。
今日重阳。
百树犹无一树香。
且倾白酒。
赖有茱萸枝在手。
可是清甘。
绕遍东篱摘未堪。"
欧阳修,"别後不知君远近。
触目凄凉多少闷。
渐行渐远渐无书，水阔鱼沈何处问。
夜深风竹敲秋韵。
万叶千声皆是恨。
故欹单枕梦中寻，梦又不成灯又尽。"
林正大,"落日岘山下，倒著接回。
傍人笑问山翁，日日醉归来。
三万六千长日，一日杯倾三百，麴筑糟抬。
汉水鸭头绿，变酒入金。
白铜，鸬鹚杓，鹦鹉杯。
轻车快马，凤笙龙管更相催。
自身清风明月，刚道不须钱买，对此玉山颓。
水自东流去，猿自夜声哀。"
张炎,"乱红自雨，正翠蹊误晓，玉洞明春。
蛾眉淡扫，背风不语盈盈。
莫恨小溪流水，引刘郎、不是飞琼。
罗扇底，从教净冶，远障歌尘。
一掬莹然生意，伴压架酴，相恼芳吟。
玄都观里，几回错认梨云。
花下可怜仙子，醉东风、犹自吹笙。
残照晚，渔翁正迷武陵。"
刘克庄,"我羡君归，一路秋风，芙蓉木犀。
想慈颜望久，灵乌乍噪，新眉画就，郎马频嘶。
忙脱征衫，快呼斗酒，细为家人说建溪。
争知道，这中年怀抱，最怕分携。
丈夫南北东西。
应笑杀离筵粉泪啼。
怅佳人来未，碧云冉冉，王孙去後，芳草萋萋。
明日相思，山重水复，古道人稀茅店鸡。
元龙老，有高楼百尺，谁共登梯。"
方千里,"月影娟娟明秀。
帘波吹皱。
徘徊空度可怜宵，谩问道、因谁瘦。
不见芳音长久。
鳞鸿空有。
渭城西路恨依然，尚梦想、青青柳。"
刘一止,"缥缈青溪畔，山翠欲粘天。
纵云台上，揽风招月自何年。
新旧今逢二妙，人地一时清绝，高并两峰寒。
歌发烟霏外，人在去留间。
著方床，容老子，醉时眠。
一尊相属，高会何意此时圆。
况是古今难遇，人月竹花俱妙，曾见句中传。
不向今宵醉，忍负四婵娟。"
杨无咎,"霁空如水。
衬落木坠红，遥山堆翠。
独立闲阶，数声□度风前，几点雁横云际。
已凉天气未寒时，问好处、一年谁记。
笑声里。
摘得半钗，金蕊来至。
横斜为插乌纱，更碎揉、泛入金尊琼蚁。
满酌霞觞，愿人寿百千，可奈此时情味。
牛山何必独沾衣，对佳节、惟应欢醉。
看睡起。
晓蝶也愁花悴。"
张先,"万乘靴袍御紫宸。
挥毫敷丽藻，尽经纶。
第名天陛首平津。
东堂桂，重占一枝春。
殊观耸簪绅。
蓬山仙话重，霈恩新。
暂时趋府冠谈宾。
十年外，身是凤池人。"
姚述尧2,"金谷貂蝉侣，东山锦绣丛。
管弦丝竹醉东风。
漫逐流莺飞舞、乱红中。
清尝吾人事，诗情我辈锺。
藤萝欲上更筇。
笑指壶天烟绕、斗城东。"
陈亮,"风流家世传张绪。
似灵和新种垂杨缕。
绮席词，银台奏赋。
当年梦绕蓬山路。
卖花声断蓝桥暮。
记吟鞭醉帽曾经处。
蜀郡归来，荆州老去。
心情零乱随风絮。"
仲并,"清远湖山佳丽人。
柳边花下复清晨。
向前犹有几多春。
祓禊秋千时节近，管弦歌舞一回新。
未嗔狂客污车茵。"
赵善括,"断云漏雨。
依约西山暮。
风定樯高须小住。
不忍带将春去。
此行抑有求欤。
青衣拟问平都。
万里一钩新月，相忘常在江湖。"
赵师侠,"金昊行秋，季商回律，天气佳处。
瑞应皇家，祥开圣旦，宝历绵基祚。
瑶池人祝，钧天乐奏，湛露宴均寰宇。
万花覆、千官尽醉，盛事顿超今古。
中兴天统，四三传序，揖逊自归明主。
黄屋非心，萝图有永，远付当今主。
希夷高蹈，寿康长保，五世祖孙欢聚。
尊之至，千秋令节，万年圣父。"
张孝祥,"满载一船秋色，平铺十里湖光。
波神留我看斜阳。
放起鳞鳞细浪。
明日风回更好，今宵露宿何妨。
水晶宫里奏霓裳。
准拟岳阳楼上。"
刘辰翁,"看团团、一物大如杯，时复几何秋。
俯天涯海角，今来古往，人物如流。
想见霓裳歌罢，无物与浇愁。
惟有当时树，香满琼楼。
谁念南楼老子，倚西风尘满，心事悠悠。
便班姬袖里，明月一时休。
叹年年、吹箫有约，又一番、鹤梦雪堂舟。
池上久，满身风露，还索衣裘。"
魏了翁,"一襟满贮梓城春。
笑声频。
笔挥银。
自有江山，长是管将迎。
不似如今归去客，云外步，水边身。
萧然今代杰魁人。
混光尘。
越精神。
不把浮云，轩冕拂天真。
化洽堂边应创见，人物旧，榜颜新。"
刘辰翁,"寒雁下荒洲。
寒声带影流。
便寄书、不到红楼。
如此月明如此酒，无一事、但悲秋。
万弩落潮头。
灵胥还怒不。
满湖山、犹是春愁。
欲向涌金门外去，烟共草、不堪游。"
赵鼎,"尽日东风吹绿树。
向晚轻寒，数点催花雨。
年少凄凉天付与。
更堪春思萦离绪。
临水高楼携酒处。
曾倚哀弦，歌断黄金缕。
楼下水流何处去。
凭栏目送苍烟暮。"
毛滂,"花里传觞飞羽过。
渐觉金槽，月缺圆龙破。
素手转罗酥作颗。
鹅溪雪绢云腴堕。
七盏能醒千日卧。
扶起瑶山，嫌怕香尘。
醉色轻松留不可。
清风停待些时过。"
刘辰翁,"过雨城西路。
看轻云、弄日花间，微寒如雾。
谁是宣华门守者，报我十分开五。
便痛饮、能销几度。
寄语後来看花客，待看花、莫待开成树。
成树也，半为土。
巢蜀锦今何许。
记西湖、聚景村庄，王亭谢墅。
冷落柯丘二三子，更问何园韩圃。
悄一笑、回车竹所。
点点守宫包红泪，纵倾城、一顾倾城顾。
家国事，正何与。"
杨无咎,"小阁清幽，胆瓶高插梅千朵。
主宾欢坐。
不速还容我。
换羽移宫，绝唱谁能和。
伊知麽。
暂听些个。
已觉丝成裹。"
张,"连汀接渚，萦蒲带藻，万镜香浮光满。
湿烟吹霁木栏轻，照波底、红娇翠腕。
玉纤采处，银笼携去，一曲山长水远。
采鸳双惯贴人飞，恨南浦、离多梦短。"
